         155 -0.766092002     -0.624688029     -0.527004004     -0.409988999     -0.132551998      -8.76469985E-02   5.86403179       6.05013895       6.54843903       6.93994904       7.16301680       7.34914494       7.79847813    
         156 -0.770404994     -0.628107011     -0.526230991     -0.409878999     -0.132978007      -8.73579979E-02   5.87626696       6.01609707       6.54643822       6.97051191       7.17141485       7.36761713       7.65694904    
         157 -0.774722993     -0.631631970     -0.525353014     -0.409689009     -0.133353993      -8.70319977E-02   5.88574982       5.99818516       6.55141878       6.96789789       7.25177288       7.56758308       7.91140509    
         158 -0.779040992     -0.635254025     -0.524365008     -0.409429014     -0.133674994      -8.66620019E-02   5.88562679       5.95794201       6.54436588       6.95348787       7.19303417       7.40601301       7.67495489    
         159 -0.783357024     -0.638961971     -0.523262024     -0.409101993     -0.133938000      -8.62440020E-02   5.86626387       5.95342779       6.54588890       6.95990801       7.20340014       7.40018320       7.64895821    
         160 -0.787667990     -0.642747998     -0.522041023     -0.408713996     -0.134137005      -8.57660025E-02   5.83409786       5.96242285       6.54439783       6.96532679       7.21491814       7.41022301       7.87184095    
         161 -0.791970015     -0.646598995     -0.520694017     -0.408266008     -0.134269997      -8.52229968E-02   5.79598808       5.97518492       6.54461002       6.97151899       7.22485304       7.45035982       7.66568184    
         162 -0.796259999     -0.650507987     -0.519218028     -0.407765001     -0.134333998      -8.46050009E-02   5.75666380       5.98959589       6.54683399       6.97817516       7.23634720       7.42505693       7.70085287    
         163 -0.800534010     -0.654462993     -0.517610013     -0.407214999     -0.134326994      -8.38989988E-02   5.71576023       6.00516415       6.54506111       6.98553324       7.24963093       7.43158197       7.71453905    
         164 -0.804789007     -0.658454001     -0.515866995     -0.406619996     -0.134244993      -8.30959976E-02   5.67464685       6.02096319       6.54374409       6.99300289       7.25632906       7.41684294       7.68024302    
         165 -0.809022009     -0.662472010     -0.513984978     -0.405984014     -0.134091005      -8.21779966E-02   5.63147116       6.03785896       6.54175186       6.99997091       7.26884222       7.45675516       7.70152998    
         166 -0.813229024     -0.666505992     -0.511963010     -0.405310988     -0.133863002      -8.11339989E-02   5.58829880       6.05441189       6.54388618       7.00701094       7.27923918       7.48864508       7.70482588    
         167 -0.817407012     -0.670548022     -0.509799004     -0.404605001     -0.133561999      -7.99449980E-02   5.55416393       6.07150602       6.54272795       7.01767302       7.28162289       7.46073914       7.74063396    
         168 -0.821551979     -0.674588025     -0.507492006     -0.403872013     -0.133191004      -7.85889998E-02   5.50130606       6.08879519       6.54404306       7.02075291       7.29640722       7.46530390       7.75749111    
         169 -0.825659990     -0.678615987     -0.505046010     -0.403113991     -0.132752001      -7.70500004E-02   5.45776606       6.10631323       6.54223680       7.03805399       7.30361509       7.48311186       8.07589340    
         170 -0.829729974     -0.682624996     -0.502460003     -0.402334988     -0.132257998      -7.52969980E-02   5.41262102       6.12425995       6.54174519       7.03575516       7.30901480       7.51331806       7.90104914    
