         174 -0.310534000     -0.170136005       1.03460001E-02  0.118257999      0.345088005      0.412407994       4.65101814       5.39458704       5.86331606       6.30282879       6.58302879       6.73903894       7.02200794    
         175 -0.314128011     -0.173466995       1.26599995E-02  0.119390003      0.345366001      0.412629008       4.61047888       5.41262579       5.86342478       6.30834389       6.58719206       6.75085020       7.00154781    
         176 -0.317667007     -0.176725000       1.51420003E-02  0.120517999      0.345806003      0.412909001       4.57006693       5.43077517       5.86355591       6.31367016       6.59093285       6.76332998       6.99233913    
         177 -0.321150005     -0.179903001       1.77849997E-02  0.121638998      0.346415013      0.413255990       4.52983713       5.44901800       5.86371183       6.31878901       6.59427023       6.77590799       6.98387909    
         178 -0.324573994     -0.182993993       2.05850005E-02  0.122752003      0.347196996      0.413679987       4.48983908       5.46733809       5.86389208       6.32363510       6.59751606       6.78917789       6.97026777    
         179 -0.327935994     -0.185994998       2.35329997E-02  0.123852998      0.348154992      0.414193988       4.45012379       5.48572302       5.86409712       6.32820702       6.60029078       6.80223989       6.97342396    
         180 -0.331232995     -0.188898996       2.66190004E-02  0.124941997      0.349290013      0.414810985       4.41073990       5.50415707       5.86433077       6.33246708       6.60320807       6.81561279       6.96861982    
         181 -0.334463000     -0.191701993       2.98309997E-02  0.126016006      0.350598007      0.415547997       4.37173891       5.52262592       5.86459398       6.33638287       6.60564518       6.82809782       6.95046282    
         182 -0.337624997     -0.194400996       3.31550017E-02  0.127073005      0.352075011      0.416424006       4.33316708       5.54111099       5.86488914       6.33992100       6.60805702       6.83984280       6.94202423    
         183 -0.340714008     -0.196992993       3.65750007E-02  0.128112003      0.353709012      0.417461008       4.29507494       5.55959606       5.86522007       6.34305096       6.61044693       6.85026598       6.93835878    
         184 -0.343730003     -0.199474007       4.00729999E-02  0.129132003      0.355484992      0.418684006       4.25751209       5.57806921       5.86559105       6.34574604       6.61287308       6.85966206       6.93764687    
         185 -0.346668988     -0.201841995       4.36290018E-02  0.130129993      0.357381999      0.420123011       4.22052479       5.59650087       5.86600685       6.34797001       6.61519003       6.86212015       6.94037390    
         186 -0.349528998     -0.204098001       4.72219996E-02  0.131106004      0.359373987      0.421806991       4.18416500       5.61487293       5.86647511       6.34970093       6.61756706       6.86274576       6.94784212    
         187 -0.352310002     -0.206239000       5.08279987E-02  0.132057995      0.361429006      0.423770994       4.14847898       5.63316202       5.86700392       6.35091019       6.61994410       6.86004019       6.95792484    
         188 -0.355008006     -0.208266005       5.44270016E-02  0.132983997      0.363510996      0.426046014       4.11352015       5.65133905       5.86760712       6.35157585       6.62233496       6.85565805       6.97058201    
         189 -0.357621014     -0.210179001       5.79940006E-02  0.133883998      0.365581989      0.428662986       4.07933807       5.66937113       5.86830091       6.35167789       6.62477779       6.85005713       6.98443985    
         190 -0.360148013     -0.211980000       6.15070015E-02  0.134756997      0.367605001      0.431645989       4.04598284       5.68721724       5.86910677       6.35119677       6.62726879       6.84404707       6.99951410    
         191 -0.362585008     -0.213669002       6.49460033E-02  0.135601997      0.369545996      0.435012996       4.01351023       5.70482779       5.87005806       6.35013008       6.62977886       6.83754492       7.01417589    
         192 -0.364932001     -0.215249002       6.82900026E-02  0.136418000      0.371374995      0.438766986       3.98196793       5.72213793       5.87119818       6.34846497       6.63239622       6.83109379       7.02946091    
         193 -0.367186010     -0.216722995       7.15200007E-02  0.137205005      0.373071998      0.442901999       3.95141196       5.73906708       5.87258911       6.34620094       6.63501120       6.82454586       7.04637909    
         194 -0.369345993     -0.218092993       7.46219978E-02  0.137959003      0.374624014      0.447393000       3.92189288       5.75548983       5.87432384       6.34333611       6.63772488       6.81819391       7.06104612    
         195 -0.371408999     -0.219364002       7.75799975E-02  0.138681993      0.376026005      0.452206999       3.89346600       5.77125311       5.87653494       6.33987808       6.64049196       6.81183720       7.07673407    
         196 -0.373373985     -0.220537007       8.03859979E-02  0.139372006      0.377278000      0.457295001       3.86618400       5.78613710       5.87941599       6.33584499       6.64324522       6.80584002       7.09226894    
         197 -0.375238001     -0.221616998       8.30290020E-02  0.140028000      0.378387988      0.462601990       3.84009910       5.79984379       5.88322592       6.33125782       6.64606714       6.79974890       7.10859203    
         198 -0.377000988     -0.222608000       8.55040029E-02  0.140651003      0.379364997      0.468062997       3.81526589       5.81202078       5.88828707       6.32614613       6.64894676       6.79396820       7.12409019    
         199 -0.378659010     -0.223513007       8.78060013E-02  0.141237006      0.380221009      0.473609000       3.79173493       5.82233000       5.89489508       6.32054520       6.65186977       6.78841591       7.13877010    
         200 -0.380212009     -0.224336997       8.99339989E-02  0.141788006      0.380966008      0.479169011       3.76955891       5.83059406       5.90318012       6.31450510       6.65481091       6.78303385       7.15756893    
         201 -0.381657988     -0.225081995       9.18859988E-02  0.142302006      0.381612986      0.484670997       3.74878907       5.83690977       5.91299486       6.30807590       6.65778017       6.77795410       7.16878223    
         202 -0.382995009     -0.225752994       9.36649963E-02  0.142777994      0.382173002      0.490043998       3.72947192       5.84159613       5.92394781       6.30132580       6.66074419       6.77297211       7.18310690    
         203 -0.384220988     -0.226353005       9.52719972E-02  0.143215001      0.382654011      0.495218009       3.71165705       5.84504509       5.93556976       6.29433918       6.66369677       6.76829576       7.19999599    
         204 -0.385334998     -0.226885006       9.67099965E-02  0.143613994      0.383067012      0.500124991       3.69538999       5.84759712       5.94744110       6.28720903       6.66660976       6.76382494       7.21058798    
         205 -0.386339009     -0.227353007       9.79830027E-02  0.143971995      0.383417994      0.504702985       3.68071103       5.84950876       5.95918512       6.28004885       6.66946983       6.75962877       7.22355700    
         206 -0.387225986     -0.227760002       9.90950018E-02  0.144289002      0.383713990      0.508889973       3.66766000       5.85095596       5.97050095       6.27300119       6.67223978       6.75573397       7.23547888    
         207 -0.387995988     -0.228107005      0.100048997      0.144566000      0.383960992      0.512634993       3.65627289       5.85205984       5.98111200       6.26622820       6.67484808       6.75213099       7.25011921    
         208 -0.388650000     -0.228396997      0.100849003      0.144801006      0.384162009      0.515888989       3.64658189       5.85290003       5.99075222       6.25991201       6.67726994       6.74890184       7.26251984    
         209 -0.389185011     -0.228631005      0.101499997      0.144995004      0.384323001      0.518610001       3.63861489       5.85353279       5.99916220       6.25428200       6.67946482       6.74609280       7.28409815    
         210 -0.389604002     -0.228811994      0.102000996      0.145144999      0.384443998      0.520762026       3.63239408       5.85399294       6.00607014       6.24955177       6.68121290       6.74380589       7.27734280    
         211 -0.389903009     -0.228939995      0.102357000      0.145253003      0.384528995      0.522319019       3.62793708       5.85430717       6.01122904       6.24596310       6.68257809       6.74205780       7.28203917    
         212 -0.390082985     -0.229017004      0.102569997      0.145318002      0.384579986      0.523262024       3.62525606       5.85448885       6.01442385       6.24371719       6.68343496       6.74098492       7.28478718    
         213 -0.390141994     -0.229041994      0.102641001      0.145339996      0.384597003      0.523576975       3.62436199       5.85454893       6.01550722       6.24294996       6.68373919       6.74061680       7.32126188    
         214 -0.390233994     -0.229167998      0.102941997      0.145291999      0.384534001      0.523608029       3.62427592       5.85443401       6.01570988       6.24295521       6.68326712       6.74047899       7.29660988    
         215 -0.390509009     -0.229542002      0.103844002      0.145149007      0.384344995      0.523699999       3.62402010       5.85409117       6.01632404       6.24297714       6.68188190       6.74007988       7.28465891    
         216 -0.390969992     -0.230156004      0.105338998      0.144912004      0.384030014      0.523853004       3.62359190       5.85351610       6.01734304       6.24301195       6.67933893       6.73940420       7.29830217    
         217 -0.391618013     -0.230994001      0.107414998      0.144581005      0.383589000      0.524069011       3.62299395       5.85270977       6.01876116       6.24305487       6.67592716       6.73845005       7.28631210    
         218 -0.392457008     -0.232039005      0.110054001      0.144153997      0.383022994      0.524345994       3.62222505       5.85167122       6.02056885       6.24311495       6.67159081       6.73721600       7.28614902    
         219 -0.393491000     -0.233264998      0.113236003      0.143635005      0.382331014      0.524686992       3.62128496       5.85039520       6.02275896       6.24319601       6.66622305       6.73574018       7.28253078    
         220 -0.394724011     -0.234646007      0.116939001      0.143022001      0.381514996      0.525089979       3.62017608       5.84887695       6.02531719       6.24328899       6.65982008       6.73400593       7.28094816    
         221 -0.396160007     -0.236153007      0.121137999      0.142318994      0.380575001      0.525557995       3.61889791       5.84711123       6.02823591       6.24339581       6.65228224       6.73201990       7.29688120    
         222 -0.397805989     -0.237754002      0.125806004      0.141524002      0.379512012      0.526090980       3.61745191       5.84508610       6.03149509       6.24352407       6.64386892       6.72979879       7.36016083    
         223 -0.399664998     -0.239419997      0.130915001      0.140640005      0.378324986      0.526690006       3.61583805       5.84278917       6.03507996       6.24367619       6.63444901       6.72729206       7.29379892    
         224 -0.401740998     -0.241118997      0.136435002      0.139671996      0.377016991      0.527356982       3.61405802       5.84020710       6.03897619       6.24384499       6.62423420       6.72458887       7.27915001    
         225 -0.404038012     -0.242823005      0.138596997      0.142358005      0.375588000      0.528091013       3.61211109       5.83731604       6.04315901       6.24403381       6.61272097       6.72168303       7.28499222    
         226 -0.406556010     -0.244503006      0.137453005      0.148624003      0.374038011      0.528895020       3.60999990       5.83409405       6.04760790       6.24424696       6.60039616       6.71850586       7.31174183    
         227 -0.409296989     -0.246133998      0.136223003      0.155228004      0.372370005      0.529770970       3.60772491       5.83051205       6.05230093       6.24448204       6.58718491       6.71516514       7.28148890    
         228 -0.412259012     -0.247694001      0.134909004      0.162139997      0.370584995      0.530718982       3.60528803       5.82653189       6.05721092       6.24474382       6.57315588       6.71157980       7.27975082    
         229 -0.415437996     -0.249164000      0.133515000      0.169338003      0.368683994      0.531741023       3.60268998       5.82211399       6.06230402       6.24503183       6.55843019       6.70783997       7.28015089    
         230 -0.418830007     -0.250528008      0.132042006      0.176798001      0.366668999      0.532839000       3.59993196       5.81720877       6.06754494       6.24534702       6.54294014       6.70396709       7.29616308    
         231 -0.422426999     -0.251771986      0.130493000      0.184499994      0.364542007      0.534013987       3.59701705       5.81176090       6.07289124       6.24568892       6.52696514       6.69985104       7.28603411    
         232 -0.426221013     -0.252887011      0.128868997      0.192423999      0.362304002      0.535269022       3.59394503       5.80570602       6.07829380       6.24606180       6.51052809       6.69559002       7.28472281    
         233 -0.430202991     -0.253865987      0.127174005      0.200550005      0.359957010      0.536605000       3.59071898       5.79897022       6.08369493       6.24645901       6.49379921       6.69119692       7.30623293    
         234 -0.434361011     -0.254705012      0.125409007      0.208862007      0.357504010      0.538025022       3.58734012       5.79147291       6.08902407       6.24688816       6.47700405       6.68673897       7.28967381    
         235 -0.438681990     -0.255400985      0.123576000      0.217343003      0.354947001      0.539529979       3.58381200       5.78312302       6.09419584       6.24734592       6.46030188       6.68206501       7.34349203    
         236 -0.443154007     -0.255955994      0.121678002      0.225977004      0.352288008      0.541123986       3.58013511       5.77381992       6.09911489       6.24782896       6.44394684       6.67729378       7.29942417    
         237 -0.447762012     -0.256368995      0.119717002      0.234751999      0.349530011      0.542807996       3.57631207       5.76345921       6.10366297       6.24834490       6.42816591       6.67245483       7.29288578    
         238 -0.452493012     -0.256646007      0.117697001      0.243652001      0.346675009      0.544586003       3.57234693       5.75192499       6.10770607       6.24887991       6.41327906       6.66751099       7.29710007    
         239 -0.457331985     -0.256787002      0.115621001      0.252667010      0.343724996      0.546459973       3.56824088       5.73910522       6.11110210       6.24944305       6.39958382       6.66251707       7.30161715    
         240 -0.462265015     -0.256799996      0.113490000      0.261783987      0.340685010      0.548433006       3.56399894       5.72488308       6.11369610       6.25002718       6.38735485       6.65745020       7.32340717    
         241 -0.467276007     -0.256689012      0.111309998      0.270992011      0.337556988      0.550508976       3.55962205       5.70914793       6.11534882       6.25063419       6.37691021       6.65234900       7.31476402    
         242 -0.472353995     -0.256460994      0.109081998      0.280279994      0.334342986      0.552690029       3.55511403       5.69180107       6.11594820       6.25125694       6.36849689       6.64721203       7.32398081    
         243 -0.477483988     -0.256119996      0.106810004      0.289638996      0.331046999      0.554980993       3.55047798       5.67275906       6.11543798       6.25189400       6.36229801       6.64204788       7.32310677    
         244 -0.482652009     -0.255674005      0.104497001      0.299059987      0.327672005      0.557385981       3.54571795       5.65195513       6.11383390       6.25254297       6.35839891       6.63686895       7.32661009    
         245 -0.487848014     -0.255127013      0.102146000      0.308533013      0.324221998      0.559907019       3.54083705       5.62935114       6.11122799       6.25319719       6.35678816       6.63169003       7.33183289    
         246 -0.493059993     -0.254487008       9.97610018E-02  0.318042994      0.320706993      0.562550008       3.53584003       5.60493183       6.10778093       6.25385523       6.35735893       6.62652683       7.31968880    
         247 -0.498277009     -0.253760010       9.73460004E-02  0.317104012      0.327607006      0.565317988       3.53072906       5.57871103       6.10369110       6.25450802       6.35993814       6.62136984       7.31327009    
         248 -0.503488004     -0.252950996       9.49029997E-02  0.313448012      0.337188005      0.568217993       3.52551007       5.55072308       6.09917116       6.25515699       6.36431313       6.61628485       7.31099081    
         249 -0.508682013     -0.252065003       9.24350023E-02  0.309729010      0.346789002      0.571251988       3.52018595       5.52102804       6.09441710       6.25578594       6.37026787       6.61119795       7.32497406    
         250 -0.513852000     -0.251107991       8.99479985E-02  0.305952013      0.356404006      0.574428022       3.51476192       5.48970079       6.08959818       6.25640011       6.37758923       6.60617590       7.30253220    
         251 -0.518987000     -0.250084996       8.74449983E-02  0.302118987      0.366026014      0.577750027       3.50924206       5.45683002       6.08484507       6.25698614       6.38609123       6.60123682       7.36485815    
         252 -0.524079978     -0.249000996       8.49289969E-02  0.298236012      0.375647992      0.581224024       3.50363111       5.42251301       6.08025503       6.25753880       6.39561081       6.59635019       7.30605316    
         253 -0.529124022     -0.247861996       8.24040025E-02  0.294306010      0.385262012      0.584855974       3.49793410       5.38684988       6.07589483       6.25805092       6.40601206       6.59155321       7.29023314    
         254 -0.534111023     -0.246669993       7.98749998E-02  0.290333003      0.394861996      0.588653982       3.49215603       5.34994507       6.07180691       6.25852108       6.41719007       6.58687019       7.32845020    
         255 -0.539032996     -0.245429993       7.73470029E-02  0.286320001      0.404442996      0.592624009       3.48630309       5.31190014       6.06800604       6.25893879       6.42903280       6.58225489       7.30495596    
         256 -0.543887019     -0.244148001       7.48229995E-02  0.282272011      0.413998008      0.596773028       3.48037910       5.27281284       6.06450510       6.25929499       6.44146919       6.57777500       7.28150177    
         257 -0.548666000     -0.242826000       7.23069981E-02  0.278192014      0.423521012      0.601108015       3.47438908       5.23277998       6.06129885       6.25958586       6.45443296       6.57337379       7.29812622    
         258 -0.553363979     -0.241467997       6.98020011E-02  0.274084002      0.433007002      0.605638027       3.46833992       5.19189215       6.05838108       6.25980616       6.46787119       6.56912184       7.27660418    
         259 -0.557977974     -0.240079001       6.73149973E-02  0.269951999      0.442449987      0.610370994       3.46223688       5.15023184       6.05573606       6.25995016       6.48173523       6.56497717       7.27828312    
         260 -0.562502980     -0.238661006       6.48500025E-02  0.265801013      0.451844007      0.615315020       3.45608592       5.10788202       6.05334711       6.26000881       6.49597979       6.56097603       7.27178288    
         261 -0.566935003     -0.237219006       6.24100007E-02  0.261633009      0.461183995      0.620480001       3.44989300       5.06491709       6.05119801       6.25998211       6.51056814       6.55710793       7.26698780    
         262 -0.571272016     -0.235753998       6.00010008E-02  0.257452995      0.470463008      0.625873983       3.44366407       5.02140713       6.04927111       6.25986195       6.52546787       6.55338001       7.26362181    
