"","KPoint 1","","KPoint 2","","KPoint 3","","KPoint 4","","KPoint 5","","KPoint 6","","KPoint 7","","KPoint 8","","KPoint 9","","KPoint 10","","KPoint 11","","KPoint 12","","KPoint 13","","KPoint 14",""
"Band","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ"
"48","-18.3479","2.0","-18.348","2.0","-18.3481","2.0","-18.3482","2.0","-18.3482","2.0","-18.3479","2.0","-18.348","2.0","-18.348","2.0","-18.3481","2.0","-18.3482","2.0","-18.3482","2.0","-18.3481","2.0","-18.3482","2.0","-18.3482","2.0"
"49","-14.587299999999999","2.0","-14.5796","2.0","-14.5818","2.0","-14.575899999999999","2.0","-14.575899999999999","2.0","-14.584399999999999","2.0","-14.5757","2.0","-14.5796","2.0","-14.5794","2.0","-14.572799999999999","2.0","-14.5758","2.0","-14.5794","2.0","-14.572799999999999","2.0","-14.5757","2.0"
"50","-14.576099999999999","2.0","-14.5717","2.0","-14.5724","2.0","-14.5701","2.0","-14.569999999999999","2.0","-14.5788","2.0","-14.5755","2.0","-14.5719","2.0","-14.5747","2.0","-14.5724","2.0","-14.5697","2.0","-14.5747","2.0","-14.5724","2.0","-14.5697","2.0"
"51","-14.5671","2.0","-14.568399999999999","2.0","-14.5716","2.0","-14.5694","2.0","-14.5693","2.0","-14.566099999999999","2.0","-14.568299999999999","2.0","-14.5671","2.0","-14.5701","2.0","-14.568999999999999","2.0","-14.5693","2.0","-14.5701","2.0","-14.568999999999999","2.0","-14.5693","2.0"
"52","-14.5633","2.0","-14.565","2.0","-14.565999999999999","2.0","-14.5659","2.0","-14.5659","2.0","-14.5642","2.0","-14.565399999999999","2.0","-14.566699999999999","2.0","-14.5673","2.0","-14.5672","2.0","-14.5671","2.0","-14.5673","2.0","-14.5671","2.0","-14.5671","2.0"
"53","-14.537099999999999","2.0","-14.5382","2.0","-14.5375","2.0","-14.5391","2.0","-14.5391","2.0","-14.536","2.0","-14.537999999999998","2.0","-14.538499999999999","2.0","-14.5366","2.0","-14.5392","2.0","-14.539399999999999","2.0","-14.5366","2.0","-14.5391","2.0","-14.539399999999999","2.0"
"54","-14.5365","2.0","-14.5382","2.0","-14.5373","2.0","-14.539","2.0","-14.539","2.0","-14.5359","2.0","-14.5376","2.0","-14.5382","2.0","-14.5365","2.0","-14.5388","2.0","-14.539299999999999","2.0","-14.5365","2.0","-14.5388","2.0","-14.539299999999999","2.0"
"55","-14.5335","2.0","-14.5376","2.0","-14.5339","2.0","-14.5384","2.0","-14.5384","2.0","-14.5344","2.0","-14.5376","2.0","-14.537099999999999","2.0","-14.534899999999999","2.0","-14.5382","2.0","-14.5377","2.0","-14.534799999999999","2.0","-14.5382","2.0","-14.5377","2.0"
"56","-14.532599999999999","2.0","-14.536","2.0","-14.533299999999999","2.0","-14.5374","2.0","-14.5374","2.0","-14.5337","2.0","-14.5366","2.0","-14.5354","2.0","-14.5344","2.0","-14.5375","2.0","-14.5366","2.0","-14.5344","2.0","-14.5375","2.0","-14.5366","2.0"
"57","-13.5903","2.0","-13.5465","2.0","-13.5534","2.0","-13.511999999999999","2.0","-13.511999999999999","2.0","-13.547099999999999","2.0","-13.501399999999999","2.0","-13.5109","2.0","-13.511099999999999","2.0","-13.469399999999998","2.0","-13.4759","2.0","-13.511099999999999","2.0","-13.469399999999998","2.0","-13.4759","2.0"
"58","-13.3887","2.0","-13.445699999999999","2.0","-13.458699999999999","2.0","-13.4253","2.0","-13.4253","2.0","-13.428199999999999","2.0","-13.4169","2.0","-13.4073","2.0","-13.419599999999999","2.0","-13.393199999999998","2.0","-13.389899999999999","2.0","-13.419599999999999","2.0","-13.393199999999998","2.0","-13.3898","2.0"
