          98   2.95318007       3.03657794       3.25890589       3.37725210       3.86210203       4.27764702       4.55219793       5.93154478       7.40049601       7.69159603       8.10785103       8.29428387       9.31252956       9.79595089    
          99   2.95228910       3.03692389       3.26143003       3.37991309       3.85226488       4.26310301       4.54524183       5.95002985       7.43046999       7.68610907       8.10156822       8.30227947       9.31512260       9.79593945    
         100   2.95140004       3.03747201       3.26393008       3.38254905       3.84291196       4.24847794       4.53820896       5.96814108       7.46081400       7.68041277       8.09509754       8.31150341       9.31777191       9.79600906    
         101   2.95051503       3.03816700       3.26640010       3.38516808       3.83400702       4.23377705       4.53110218       5.98587704       7.49149799       7.67465210       8.08844471       8.32184124       9.32044601       9.79622555    
         102   2.94962502       3.03903389       3.26885009       3.38779402       3.82552695       4.21902514       4.52392387       6.00323200       7.52246714       7.66899300       8.08163357       8.33317471       9.32312393       9.79664230    
         103   2.94874310       3.04007602       3.27129889       3.39043903       3.81748009       4.20423603       4.51667595       6.02020693       7.55361986       7.66363907       8.07468987       8.34538746       9.32577705       9.79727364    
         104   2.94787693       3.04128289       3.27372694       3.39311409       3.80982208       4.18941689       4.50936890       6.03680086       7.58469296       7.65894318       8.06764126       8.35836029       9.32837963       9.79815292    
         105   2.94699597       3.04263496       3.27613592       3.39582205       3.80253410       4.17459297       4.50200319       6.05301189       7.61456108       7.65609789       8.06052113       8.37198067       9.33090401       9.79930878    
         106   2.94611001       3.04412198       3.27853608       3.39857602       3.79559207       4.15976000       4.49457788       6.06884098       7.63564587       7.66274881       8.05335903       8.38615417       9.33332157       9.80094337    
         107   2.94522095       3.04573202       3.28093100       3.40139508       3.78895092       4.14492607       4.48709917       6.08428812       7.63842201       7.68846512       8.04618931       8.40078735       9.33561039       9.80241108    
         108   2.94431591       3.04744601       3.28333211       3.40428996       3.78260708       4.13013077       4.47957277       6.09935808       7.63634491       7.71982479       8.03905010       8.41579914       9.33775139       9.80437088    
         109   2.94344211       3.04927206       3.28574705       3.40727210       3.77653909       4.11537981       4.47200489       6.11405706       7.63389206       7.75236893       8.03198433       8.43111420       9.33972263       9.80658245    
         110   2.94257689       3.05117702       3.28818107       3.41034293       3.77068901       4.10067701       4.46439600       6.12838507       7.63178301       7.78536701       8.02504444       8.44666481       9.34150314       9.80891705    
         111   2.94172812       3.05316496       3.29064488       3.41351295       3.76506400       4.08604717       4.45675278       6.14235115       7.63023281       7.81856298       8.01830769       8.46238995       9.34307289       9.81139469    
         112   2.94089603       3.05521488       3.29314399       3.41677189       3.75961804       4.07149696       4.44907713       6.15595913       7.62933397       7.85174894       8.01191521       8.47823429       9.34441566       9.81387711    
         113   2.94009495       3.05731606       3.29569697       3.42015195       3.75432706       4.05704021       4.44137907       6.16921711       7.62913990       7.88459492       8.00615978       8.49414730       9.34551620       9.81624222    
         114   2.93932509       3.05945301       3.29830909       3.42363906       3.74916101       4.04267597       4.43366194       6.18213177       7.62967920       7.91629314       8.00182629       8.51008224       9.34635639       9.81826210    
         115   2.93860507       3.06161809       3.30099201       3.42723393       3.74410200       4.02844286       4.42593193       6.19471216       7.63097382       7.94418001       8.00156021       8.52600098       9.34692669       9.81980896    
         116   2.93794894       3.06380296       3.30375600       3.43093801       3.73912406       4.01434612       4.41819715       6.20696402       7.63303423       7.96073294       8.01286697       8.54186821       9.34721661       9.82075214    
         117   2.93736100       3.06598806       3.30659795       3.43473911       3.73420405       4.00037718       4.41045094       6.21889305       7.63585997       7.96345901       8.03821564       8.55764580       9.34721470       9.82104492    
         118   2.93687892       3.06816101       3.30956006       3.43864202       3.72933006       3.98657203       4.40271902       6.23051500       7.63944292       7.96046686       8.06949043       8.57330227       9.34691620       9.82076263    
         119   2.93650794       3.07031798       3.31260800       3.44263697       3.72447491       3.97292709       4.39498997       6.24183512       7.64377785       7.95576477       8.10265160       8.58881283       9.34631729       9.82003212    
         120   2.93628192       3.07243490       3.31576395       3.44672298       3.71962810       3.95945811       4.38728905       6.25285292       7.64884281       7.95049810       8.13654041       8.60415459       9.34541702       9.81890774    
         121   2.93626308       3.07452989       3.31904006       3.45089602       3.71478105       3.94617009       4.37962103       6.26358080       7.65462112       7.94506121       8.17073917       8.61930275       9.34421444       9.81750584    
         122   2.93648005       3.07657504       3.32243490       3.45514989       3.70992088       3.93308401       4.37199211       6.27402401       7.66107988       7.93962288       8.20505142       8.63423729       9.34270954       9.81590176    
         123   2.93697500       3.07857394       3.32595801       3.45946789       3.70503306       3.92019010       4.36440706       6.28418398       7.66819286       7.93427610       8.23936367       8.64894104       9.34090614       9.81413078    
         124   2.93779612       3.08051395       3.32958698       3.46383810       3.70013309       3.90750599       4.35688400       6.29406881       7.67591906       7.92907619       8.27359390       8.66339493       9.33881283       9.81216908    
         125   2.93896508       3.08236694       3.33332705       3.46825290       3.69520593       3.89503789       4.34942818       6.30367708       7.68420982       7.92406511       8.30767059       8.67758465       9.33643913       9.81001091    
         126   2.94051790       3.08416009       3.33718204       3.47271299       3.69026494       3.88279700       4.34205914       6.31301594       7.69302177       7.91927910       8.34152985       8.69149685       9.33378887       9.80767441    
         127   2.94247103       3.08589005       3.34114504       3.47719002       3.68530607       3.87078500       4.33477497       6.32207918       7.70228910       7.91475010       8.37512207       8.70512199       9.33087730       9.80515671    
         128   2.94479203       3.08754802       3.34520888       3.48168111       3.68035793       3.85901594       4.32759619       6.33086920       7.71194410       7.91051388       8.40837955       8.71844578       9.32771778       9.80241871    
         129   2.94743609       3.08911800       3.34936500       3.48616910       3.67539310       3.84748602       4.32053280       6.33938217       7.72190523       7.90661383       8.44123936       8.73145771       9.32432365       9.79934597    
         130   2.95036101       3.09060502       3.35360599       3.49064493       3.67045093       3.83620691       4.31360292       6.34761477       7.73207808       7.90309715       8.47363567       8.74415207       9.32071209       9.79603100    
         131   2.95350409       3.09200406       3.35791802       3.49508905       3.66553712       3.82518291       4.30681610       6.35556412       7.74235201       7.90002584       8.50549698       8.75651741       9.31690121       9.79273510    
         132   2.95680904       3.09331107       3.36227393       3.49947810       3.66067100       3.81440806       4.30018520       6.36322021       7.75259399       7.89747095       8.53674889       8.76854515       9.31290531       9.78830147    
         133   2.96023989       3.09453392       3.36669207       3.50381207       3.65588307       3.80391788       4.29373217       6.37058210       7.76265001       7.89553785       8.56731319       8.78023148       9.30875301       9.78388691    
         134   2.96375299       3.09567404       3.37114406       3.50806808       3.65120411       3.79371190       4.28747320       6.37764215       7.77233505       7.89434099       8.59710217       8.79157066       9.30446434       9.77904892    
         135   2.96728897       3.09671688       3.37560606       3.51221991       3.64663196       3.78378010       4.28140688       6.38439083       7.78143597       7.89401817       8.62602139       8.80255604       9.30006218       9.77375221    
         136   2.97081995       3.09765100       3.38006091       3.51624203       3.64222193       3.77414799       4.27557516       6.39081717       7.78972578       7.89472103       8.65397072       8.81318665       9.29557228       9.76809025    
         137   2.97434402       3.09853792       3.38451600       3.52012610       3.63800693       3.76483893       4.26998377       6.39691687       7.79699612       7.89658880       8.68084717       8.82347107       9.29102612       9.76204395    
         138   2.97777891       3.09935308       3.38891006       3.52383089       3.63401008       3.75584888       4.26464987       6.40267801       7.80307722       7.89969683       8.70652771       8.83340645       9.28644943       9.75562000    
         139   2.98111391       3.10005212       3.39322591       3.52733111       3.63026500       3.74719810       4.25957394       6.40809202       7.80790520       7.90402222       8.73087311       8.84300423       9.28188133       9.74892139    
         140   2.98434210       3.10068393       3.39745903       3.53060603       3.62684608       3.73891902       4.25480604       6.41315222       7.81153107       7.90941906       8.75375271       8.85229111       9.27735043       9.74206066    
         141   2.98742390       3.10123205       3.40155411       3.53361702       3.62373710       3.73100495       4.25034618       6.41784382       7.81410217       7.91564322       8.77499866       8.86129475       9.27289772       9.73509216    
