"","KPoint 1","","KPoint 2","","KPoint 3","","KPoint 4","","KPoint 5","","KPoint 6","","KPoint 7","","KPoint 8","","KPoint 9","","KPoint 10","","KPoint 11","","KPoint 12","","KPoint 13","","KPoint 14","","KPoint 15","","KPoint 16","","KPoint 17","","KPoint 18","","KPoint 19","","KPoint 20","","KPoint 21","","KPoint 22","","KPoint 23","","KPoint 24","","KPoint 25","","KPoint 26","","KPoint 27",""
"Band","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ"
"20","-17.991500000000002","1.0","-17.991500000000002","1.0","-17.991500000000002","1.0","-17.9908","1.0","-17.9908","1.0","-17.9908","1.0","-17.9908","1.0","-17.9908","1.0","-17.9908","1.0","-17.9908","1.0","-17.9908","1.0","-17.9908","1.0","-17.9903","1.0","-17.9903","1.0","-17.9903","1.0","-17.9903","1.0","-17.9903","1.0","-17.9903","1.0","-17.9908","1.0","-17.9908","1.0","-17.9908","1.0","-17.9903","1.0","-17.9903","1.0","-17.9903","1.0","-17.9903","1.0","-17.9903","1.0","-17.9903","1.0"
"21","-17.990000000000002","1.0","-17.990000000000002","1.0","-17.990000000000002","1.0","-17.9905","1.0","-17.9905","1.0","-17.9905","1.0","-17.9905","1.0","-17.9905","1.0","-17.9905","1.0","-17.9901","1.0","-17.9901","1.0","-17.9901","1.0","-17.990000000000002","1.0","-17.990000000000002","1.0","-17.9901","1.0","-17.990000000000002","1.0","-17.990000000000002","1.0","-17.9901","1.0","-17.9901","1.0","-17.9901","1.0","-17.9901","1.0","-17.990000000000002","1.0","-17.9901","1.0","-17.990000000000002","1.0","-17.990000000000002","1.0","-17.9901","1.0","-17.990000000000002","1.0"
"22","-17.990000000000002","1.0","-17.990000000000002","1.0","-17.990000000000002","1.0","-17.9905","1.0","-17.9905","1.0","-17.9905","1.0","-17.9905","1.0","-17.9905","1.0","-17.9905","1.0","-17.9901","1.0","-17.9901","1.0","-17.990000000000002","1.0","-17.990000000000002","1.0","-17.990000000000002","1.0","-17.990000000000002","1.0","-17.990000000000002","1.0","-17.990000000000002","1.0","-17.990000000000002","1.0","-17.9901","1.0","-17.990000000000002","1.0","-17.9901","1.0","-17.990000000000002","1.0","-17.990000000000002","1.0","-17.990000000000002","1.0","-17.990000000000002","1.0","-17.990000000000002","1.0","-17.990000000000002","1.0"
"23","-17.989900000000002","1.0","-17.989900000000002","1.0","-17.989900000000002","1.0","-17.9901","1.0","-17.9901","1.0","-17.9901","1.0","-17.9901","1.0","-17.9901","1.0","-17.9901","1.0","-17.989800000000002","1.0","-17.989900000000002","1.0","-17.989800000000002","1.0","-17.989800000000002","1.0","-17.989800000000002","1.0","-17.989800000000002","1.0","-17.989800000000002","1.0","-17.989800000000002","1.0","-17.989800000000002","1.0","-17.989800000000002","1.0","-17.989800000000002","1.0","-17.989900000000002","1.0","-17.989800000000002","1.0","-17.989800000000002","1.0","-17.989800000000002","1.0","-17.989800000000002","1.0","-17.989800000000002","1.0","-17.989800000000002","1.0"
"24","-17.989900000000002","1.0","-17.989900000000002","1.0","-17.989900000000002","1.0","-17.9901","1.0","-17.9901","1.0","-17.9901","1.0","-17.9901","1.0","-17.9901","1.0","-17.9901","1.0","-17.989800000000002","1.0","-17.989800000000002","1.0","-17.989800000000002","1.0","-17.989800000000002","1.0","-17.989800000000002","1.0","-17.989800000000002","1.0","-17.989800000000002","1.0","-17.989800000000002","1.0","-17.989800000000002","1.0","-17.989800000000002","1.0","-17.989800000000002","1.0","-17.989800000000002","1.0","-17.989800000000002","1.0","-17.989800000000002","1.0","-17.989800000000002","1.0","-17.989800000000002","1.0","-17.989800000000002","1.0","-17.989800000000002","1.0"
"25","-17.989500000000003","1.0","-17.989500000000003","1.0","-17.989500000000003","1.0","-17.9893","1.0","-17.9892","1.0","-17.9892","1.0","-17.9893","1.0","-17.9892","1.0","-17.9892","1.0","-17.989600000000003","1.0","-17.989600000000003","1.0","-17.989600000000003","1.0","-17.989500000000003","1.0","-17.989500000000003","1.0","-17.989500000000003","1.0","-17.989500000000003","1.0","-17.989500000000003","1.0","-17.989500000000003","1.0","-17.989600000000003","1.0","-17.989600000000003","1.0","-17.989600000000003","1.0","-17.989500000000003","1.0","-17.989500000000003","1.0","-17.989500000000003","1.0","-17.989500000000003","1.0","-17.989500000000003","1.0","-17.989500000000003","1.0"
"26","-17.989500000000003","1.0","-17.989500000000003","1.0","-17.989500000000003","1.0","-17.9892","1.0","-17.9892","1.0","-17.9892","1.0","-17.9892","1.0","-17.9892","1.0","-17.9892","1.0","-17.989500000000003","1.0","-17.989500000000003","1.0","-17.989500000000003","1.0","-17.989500000000003","1.0","-17.989500000000003","1.0","-17.989500000000003","1.0","-17.989500000000003","1.0","-17.989500000000003","1.0","-17.989500000000003","1.0","-17.989500000000003","1.0","-17.989500000000003","1.0","-17.989500000000003","1.0","-17.989500000000003","1.0","-17.989500000000003","1.0","-17.989500000000003","1.0","-17.989500000000003","1.0","-17.989500000000003","1.0","-17.989500000000003","1.0"
"27","-17.9894","1.0","-17.9894","1.0","-17.9894","1.0","-17.9888","1.0","-17.9887","1.0","-17.9887","1.0","-17.9888","1.0","-17.9887","1.0","-17.9887","1.0","-17.9893","1.0","-17.9893","1.0","-17.9893","1.0","-17.9892","1.0","-17.9892","1.0","-17.9892","1.0","-17.9892","1.0","-17.9892","1.0","-17.9892","1.0","-17.9893","1.0","-17.9893","1.0","-17.9893","1.0","-17.9892","1.0","-17.9892","1.0","-17.9892","1.0","-17.9892","1.0","-17.9892","1.0","-17.9892","1.0"
"28","-17.9894","1.0","-17.9894","1.0","-17.9894","1.0","-17.9887","1.0","-17.9887","1.0","-17.9887","1.0","-17.9887","1.0","-17.9887","1.0","-17.9887","1.0","-17.9892","1.0","-17.9892","1.0","-17.9892","1.0","-17.9892","1.0","-17.9892","1.0","-17.9892","1.0","-17.9892","1.0","-17.9892","1.0","-17.9892","1.0","-17.9892","1.0","-17.9892","1.0","-17.9892","1.0","-17.9892","1.0","-17.9892","1.0","-17.9892","1.0","-17.9892","1.0","-17.9892","1.0","-17.9892","1.0"
"29","-17.9877","1.0","-17.9878","1.0","-17.9878","1.0","-17.988400000000002","1.0","-17.988400000000002","1.0","-17.988400000000002","1.0","-17.988400000000002","1.0","-17.988400000000002","1.0","-17.988400000000002","1.0","-17.988400000000002","1.0","-17.988500000000002","1.0","-17.988400000000002","1.0","-17.9889","1.0","-17.989","1.0","-17.989","1.0","-17.9889","1.0","-17.989","1.0","-17.989","1.0","-17.988400000000002","1.0","-17.988400000000002","1.0","-17.988500000000002","1.0","-17.9889","1.0","-17.989","1.0","-17.989","1.0","-17.9889","1.0","-17.989","1.0","-17.989","1.0"
"30","-17.9877","1.0","-17.9878","1.0","-17.9878","1.0","-17.988400000000002","1.0","-17.988400000000002","1.0","-17.988400000000002","1.0","-17.988400000000002","1.0","-17.988400000000002","1.0","-17.988400000000002","1.0","-17.988400000000002","1.0","-17.988400000000002","1.0","-17.988400000000002","1.0","-17.9889","1.0","-17.9889","1.0","-17.9889","1.0","-17.9889","1.0","-17.9889","1.0","-17.9889","1.0","-17.988400000000002","1.0","-17.988400000000002","1.0","-17.988400000000002","1.0","-17.9889","1.0","-17.9889","1.0","-17.9889","1.0","-17.9889","1.0","-17.9889","1.0","-17.9889","1.0"
"31","-17.9877","1.0","-17.9877","1.0","-17.9877","1.0","-17.9879","1.0","-17.9879","1.0","-17.9879","1.0","-17.9879","1.0","-17.9879","1.0","-17.9879","1.0","-17.988200000000003","1.0","-17.988200000000003","1.0","-17.988200000000003","1.0","-17.988400000000002","1.0","-17.988400000000002","1.0","-17.988400000000002","1.0","-17.988400000000002","1.0","-17.988400000000002","1.0","-17.988400000000002","1.0","-17.988200000000003","1.0","-17.988200000000003","1.0","-17.988200000000003","1.0","-17.988400000000002","1.0","-17.988400000000002","1.0","-17.988400000000002","1.0","-17.988400000000002","1.0","-17.988400000000002","1.0","-17.988400000000002","1.0"
"32","-17.9877","1.0","-17.9877","1.0","-17.9877","1.0","-17.9879","1.0","-17.9879","1.0","-17.9879","1.0","-17.9879","1.0","-17.9879","1.0","-17.9879","1.0","-17.988100000000003","1.0","-17.988100000000003","1.0","-17.988100000000003","1.0","-17.988400000000002","1.0","-17.988400000000002","1.0","-17.988400000000002","1.0","-17.988400000000002","1.0","-17.988400000000002","1.0","-17.988400000000002","1.0","-17.988100000000003","1.0","-17.988100000000003","1.0","-17.988100000000003","1.0","-17.988400000000002","1.0","-17.988400000000002","1.0","-17.988400000000002","1.0","-17.988400000000002","1.0","-17.988400000000002","1.0","-17.988400000000002","1.0"
"33","-17.9741","1.0","-17.9738","1.0","-17.9738","1.0","-17.974","1.0","-17.9735","1.0","-17.9735","1.0","-17.974","1.0","-17.9735","1.0","-17.9735","1.0","-17.9741","1.0","-17.9737","1.0","-17.9738","1.0","-17.974","1.0","-17.9735","1.0","-17.9735","1.0","-17.974","1.0","-17.9735","1.0","-17.9735","1.0","-17.9741","1.0","-17.9738","1.0","-17.9737","1.0","-17.974","1.0","-17.9735","1.0","-17.9735","1.0","-17.974","1.0","-17.9735","1.0","-17.9735","1.0"
"34","-17.9741","1.0","-17.9735","1.0","-17.9735","1.0","-17.9738","1.0","-17.973300000000002","1.0","-17.973300000000002","1.0","-17.9738","1.0","-17.973300000000002","1.0","-17.973300000000002","1.0","-17.974","1.0","-17.9737","1.0","-17.9736","1.0","-17.9739","1.0","-17.9734","1.0","-17.9734","1.0","-17.9739","1.0","-17.9734","1.0","-17.9734","1.0","-17.974","1.0","-17.9736","1.0","-17.9737","1.0","-17.9739","1.0","-17.9734","1.0","-17.9734","1.0","-17.9739","1.0","-17.9734","1.0","-17.9734","1.0"
"35","-17.9739","1.0","-17.973300000000002","1.0","-17.973300000000002","1.0","-17.9736","1.0","-17.972900000000003","1.0","-17.972900000000003","1.0","-17.9736","1.0","-17.972900000000003","1.0","-17.972900000000003","1.0","-17.974","1.0","-17.973300000000002","1.0","-17.973200000000002","1.0","-17.9735","1.0","-17.972900000000003","1.0","-17.972900000000003","1.0","-17.9735","1.0","-17.972900000000003","1.0","-17.972900000000003","1.0","-17.974","1.0","-17.973200000000002","1.0","-17.973300000000002","1.0","-17.9735","1.0","-17.972900000000003","1.0","-17.972900000000003","1.0","-17.9735","1.0","-17.972900000000003","1.0","-17.972900000000003","1.0"
"36","-17.9739","1.0","-17.973000000000003","1.0","-17.973000000000003","1.0","-17.9734","1.0","-17.972900000000003","1.0","-17.972900000000003","1.0","-17.9734","1.0","-17.972900000000003","1.0","-17.972900000000003","1.0","-17.9739","1.0","-17.973000000000003","1.0","-17.973200000000002","1.0","-17.9734","1.0","-17.972800000000003","1.0","-17.972800000000003","1.0","-17.9734","1.0","-17.972800000000003","1.0","-17.972800000000003","1.0","-17.9739","1.0","-17.973200000000002","1.0","-17.973000000000003","1.0","-17.9734","1.0","-17.972800000000003","1.0","-17.972800000000003","1.0","-17.9734","1.0","-17.972800000000003","1.0","-17.972800000000003","1.0"
"37","-17.972800000000003","1.0","-17.9726","1.0","-17.9726","1.0","-17.9734","1.0","-17.9727","1.0","-17.9727","1.0","-17.9734","1.0","-17.9727","1.0","-17.9727","1.0","-17.972800000000003","1.0","-17.9726","1.0","-17.9725","1.0","-17.973300000000002","1.0","-17.972800000000003","1.0","-17.972800000000003","1.0","-17.973300000000002","1.0","-17.972800000000003","1.0","-17.972800000000003","1.0","-17.972800000000003","1.0","-17.9725","1.0","-17.9726","1.0","-17.973300000000002","1.0","-17.972800000000003","1.0","-17.972800000000003","1.0","-17.973300000000002","1.0","-17.972800000000003","1.0","-17.972800000000003","1.0"
"38","-17.972800000000003","1.0","-17.9724","1.0","-17.9724","1.0","-17.973200000000002","1.0","-17.9727","1.0","-17.9727","1.0","-17.973200000000002","1.0","-17.9727","1.0","-17.9727","1.0","-17.9727","1.0","-17.9724","1.0","-17.9725","1.0","-17.973300000000002","1.0","-17.9727","1.0","-17.972800000000003","1.0","-17.973300000000002","1.0","-17.9727","1.0","-17.972800000000003","1.0","-17.9727","1.0","-17.9725","1.0","-17.9724","1.0","-17.973300000000002","1.0","-17.972800000000003","1.0","-17.9727","1.0","-17.973300000000002","1.0","-17.972800000000003","1.0","-17.9727","1.0"
"39","-17.9727","1.0","-17.9724","1.0","-17.9724","1.0","-17.972900000000003","1.0","-17.9724","1.0","-17.9724","1.0","-17.972900000000003","1.0","-17.9724","1.0","-17.9724","1.0","-17.9727","1.0","-17.9724","1.0","-17.9724","1.0","-17.972900000000003","1.0","-17.9724","1.0","-17.9723","1.0","-17.972900000000003","1.0","-17.9724","1.0","-17.9723","1.0","-17.9727","1.0","-17.9724","1.0","-17.9724","1.0","-17.972900000000003","1.0","-17.9723","1.0","-17.9724","1.0","-17.972900000000003","1.0","-17.9723","1.0","-17.9724","1.0"
"40","-17.9727","1.0","-17.9723","1.0","-17.9723","1.0","-17.972800000000003","1.0","-17.9722","1.0","-17.9722","1.0","-17.972800000000003","1.0","-17.9722","1.0","-17.9722","1.0","-17.9727","1.0","-17.9724","1.0","-17.9723","1.0","-17.972800000000003","1.0","-17.9722","1.0","-17.9723","1.0","-17.972800000000003","1.0","-17.9722","1.0","-17.9723","1.0","-17.9727","1.0","-17.9723","1.0","-17.9724","1.0","-17.972800000000003","1.0","-17.9723","1.0","-17.9722","1.0","-17.972800000000003","1.0","-17.9723","1.0","-17.9722","1.0"
