"","KPoint 1","","KPoint 2","","KPoint 3","","KPoint 4","","KPoint 5","","KPoint 6","","KPoint 7","","KPoint 8","","KPoint 9","","KPoint 10","","KPoint 11","","KPoint 12","","KPoint 13","","KPoint 14",""
"Band","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ"
"49","-12.692","2.0","-12.683300000000001","2.0","-12.6842","2.0","-12.6778","2.0","-12.6778","2.0","-12.6873","2.0","-12.6766","2.0","-12.6831","2.0","-12.6805","2.0","-12.6736","2.0","-12.6784","2.0","-12.6805","2.0","-12.6736","2.0","-12.6784","2.0"
"50","-12.6734","2.0","-12.67","2.0","-12.6701","2.0","-12.668700000000001","2.0","-12.6686","2.0","-12.678","2.0","-12.676400000000001","2.0","-12.67","2.0","-12.6731","2.0","-12.6723","2.0","-12.671000000000001","2.0","-12.6731","2.0","-12.6723","2.0","-12.671000000000001","2.0"
"51","-12.664","2.0","-12.6668","2.0","-12.669500000000001","2.0","-12.6683","2.0","-12.6684","2.0","-12.663","2.0","-12.6696","2.0","-12.6686","2.0","-12.6683","2.0","-12.6701","2.0","-12.6677","2.0","-12.6683","2.0","-12.6701","2.0","-12.6677","2.0"
"52","-12.6595","2.0","-12.6652","2.0","-12.6625","2.0","-12.6667","2.0","-12.6667","2.0","-12.6608","2.0","-12.6625","2.0","-12.6632","2.0","-12.6645","2.0","-12.6653","2.0","-12.664200000000001","2.0","-12.6645","2.0","-12.6653","2.0","-12.664200000000001","2.0"
"53","-12.5814","2.0","-12.5794","2.0","-12.5806","2.0","-12.5792","2.0","-12.5792","2.0","-12.578000000000001","2.0","-12.5775","2.0","-12.581800000000001","2.0","-12.5774","2.0","-12.5787","2.0","-12.5824","2.0","-12.5774","2.0","-12.578800000000001","2.0","-12.5824","2.0"
"54","-12.5741","2.0","-12.5739","2.0","-12.5771","2.0","-12.576600000000001","2.0","-12.576600000000001","2.0","-12.5715","2.0","-12.5772","2.0","-12.5785","2.0","-12.574200000000001","2.0","-12.5787","2.0","-12.5808","2.0","-12.574200000000001","2.0","-12.5786","2.0","-12.5808","2.0"
"55","-12.568100000000001","2.0","-12.571","2.0","-12.5675","2.0","-12.572000000000001","2.0","-12.571900000000001","2.0","-12.5713","2.0","-12.5724","2.0","-12.568100000000001","2.0","-12.5708","2.0","-12.5721","2.0","-12.5683","2.0","-12.5708","2.0","-12.5721","2.0","-12.5683","2.0"
"56","-12.5632","2.0","-12.5708","2.0","-12.5652","2.0","-12.5718","2.0","-12.5718","2.0","-12.5661","2.0","-12.5676","2.0","-12.565900000000001","2.0","-12.5683","2.0","-12.5698","2.0","-12.5673","2.0","-12.568200000000001","2.0","-12.5698","2.0","-12.5673","2.0"
"57","-12.177100000000001","2.0","-12.1321","2.0","-12.1461","2.0","-12.104800000000001","2.0","-12.104800000000001","2.0","-12.1376","2.0","-12.088700000000001","2.0","-12.105500000000001","2.0","-12.1076","2.0","-12.0641","2.0","-12.0768","2.0","-12.1076","2.0","-12.0641","2.0","-12.0768","2.0"
"58","-12.0083","2.0","-12.0353","2.0","-12.0665","2.0","-12.0336","2.0","-12.0335","2.0","-12.0297","2.0","-12.0164","2.0","-12.0007","2.0","-12.031500000000001","2.0","-12.0016","2.0","-12.0039","2.0","-12.031500000000001","2.0","-12.0016","2.0","-12.0039","2.0"
"59","-11.9792","2.0","-11.9801","2.0","-11.9628","2.0","-12.0147","2.0","-12.0147","2.0","-11.975900000000001","2.0","-12.0097","2.0","-11.988900000000001","2.0","-12.0025","2.0","-11.9959","2.0","-11.9838","2.0","-12.0025","2.0","-11.996","2.0","-11.9839","2.0"
"60","-11.922","2.0","-11.914200000000001","2.0","-11.9228","2.0","-11.9603","2.0","-11.9603","2.0","-11.9574","2.0","-11.955400000000001","2.0","-11.9467","2.0","-11.9527","2.0","-11.985800000000001","2.0","-11.9702","2.0","-11.9527","2.0","-11.9857","2.0","-11.9701","2.0"
"61","-11.8737","2.0","-11.9018","2.0","-11.870000000000001","2.0","-11.863100000000001","2.0","-11.863","2.0","-11.8968","2.0","-11.923300000000001","2.0","-11.9428","2.0","-11.919500000000001","2.0","-11.9261","2.0","-11.9285","2.0","-11.919500000000001","2.0","-11.9261","2.0","-11.9285","2.0"
"62","-11.8457","2.0","-11.8628","2.0","-11.8308","2.0","-11.8405","2.0","-11.8406","2.0","-11.895","2.0","-11.8889","2.0","-11.9","2.0","-11.8912","2.0","-11.908900000000001","2.0","-11.9155","2.0","-11.8912","2.0","-11.908900000000001","2.0","-11.9155","2.0"
"63","-11.8388","2.0","-11.8343","2.0","-11.8305","2.0","-11.827300000000001","2.0","-11.827300000000001","2.0","-11.8611","2.0","-11.8744","2.0","-11.8866","2.0","-11.879100000000001","2.0","-11.9045","2.0","-11.9115","2.0","-11.879100000000001","2.0","-11.9045","2.0","-11.9115","2.0"
"64","-11.821200000000001","2.0","-11.8255","2.0","-11.8193","2.0","-11.8218","2.0","-11.8218","2.0","-11.834900000000001","2.0","-11.8573","2.0","-11.8436","2.0","-11.8496","2.0","-11.8727","2.0","-11.8687","2.0","-11.8497","2.0","-11.8727","2.0","-11.8687","2.0"
"65","-11.7886","2.0","-11.77","2.0","-11.798","2.0","-11.7788","2.0","-11.7788","2.0","-11.6895","2.0","-11.6849","2.0","-11.6854","2.0","-11.6826","2.0","-11.6822","2.0","-11.6774","2.0","-11.6826","2.0","-11.6823","2.0","-11.6773","2.0"
"66","-11.6823","2.0","-11.7163","2.0","-11.7623","2.0","-11.7467","2.0","-11.7467","2.0","-11.6765","2.0","-11.6811","2.0","-11.6812","2.0","-11.6824","2.0","-11.6747","2.0","-11.6773","2.0","-11.6823","2.0","-11.6747","2.0","-11.6773","2.0"
"67","-11.6793","2.0","-11.6816","2.0","-11.6867","2.0","-11.7227","2.0","-11.7227","2.0","-11.6755","2.0","-11.6739","2.0","-11.6789","2.0","-11.661100000000001","2.0","-11.6664","2.0","-11.6725","2.0","-11.661100000000001","2.0","-11.6663","2.0","-11.6725","2.0"
"68","-11.6776","2.0","-11.6796","2.0","-11.6815","2.0","-11.7086","2.0","-11.7085","2.0","-11.6723","2.0","-11.6727","2.0","-11.6724","2.0","-11.6463","2.0","-11.658100000000001","2.0","-11.6582","2.0","-11.6462","2.0","-11.658100000000001","2.0","-11.6582","2.0"
"69","-11.639000000000001","2.0","-11.6486","2.0","-11.587900000000001","2.0","-11.5915","2.0","-11.5915","2.0","-11.6267","2.0","-11.6266","2.0","-11.6228","2.0","-11.597","2.0","-11.6016","2.0","-11.5981","2.0","-11.597","2.0","-11.6016","2.0","-11.5981","2.0"
"70","-11.6382","2.0","-11.6425","2.0","-11.5875","2.0","-11.5898","2.0","-11.5898","2.0","-11.584900000000001","2.0","-11.6088","2.0","-11.6102","2.0","-11.5833","2.0","-11.5921","2.0","-11.595600000000001","2.0","-11.5833","2.0","-11.5922","2.0","-11.5957","2.0"
"71","-11.4918","2.0","-11.475","2.0","-11.5099","2.0","-11.5104","2.0","-11.5105","2.0","-11.5252","2.0","-11.5229","2.0","-11.5221","2.0","-11.5444","2.0","-11.5439","2.0","-11.546100000000001","2.0","-11.5443","2.0","-11.543800000000001","2.0","-11.546100000000001","2.0"
"72","-11.4758","2.0","-11.4746","2.0","-11.5062","2.0","-11.5088","2.0","-11.508700000000001","2.0","-11.5006","2.0","-11.5139","2.0","-11.5132","2.0","-11.533900000000001","2.0","-11.5426","2.0","-11.5393","2.0","-11.533800000000001","2.0","-11.5426","2.0","-11.539200000000001","2.0"
"73","-11.4654","2.0","-11.471","2.0","-11.4303","2.0","-11.4124","2.0","-11.412600000000001","2.0","-11.433","2.0","-11.439","2.0","-11.4342","2.0","-11.4284","2.0","-11.4021","2.0","-11.4125","2.0","-11.4284","2.0","-11.4022","2.0","-11.4124","2.0"
